-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	0
-100	-95	0
-95	-90	0
-90	-85	0
-85	-80	0
-80	-75	0
-75	-70	0
-70	-65	0
-65	-60	0
-60	-55	0
-55	-50	0
-50	-45	0
-45	-40	0
-40	-35	598
-35	-30	1303
-30	-25	1246
-25	-20	1211
-20	-15	1098
-15	-10	1099
-10	-5	1021
-5	0	971
0	5	946
5	10	975
10	15	948
15	20	925
20	25	816
25	30	797
30	35	714
35	40	731
40	45	649
45	50	603
50	55	626
55	60	599
60	65	733
65	70	657
70	75	843
75	80	1069
80	85	2126
85	90	5927
90	95	16608
95	100	34944
100	105	56567
105	110	73471
110	115	81719
115	120	82776
120	125	77117
125	130	68412
130	135	60085
135	140	53154
140	145	43858
145	150	36641
150	155	29576
155	160	22023
160	165	16428
165	170	12411
170	175	10582
175	180	9941
180	185	9714
185	190	9432
190	195	9414
195	200	8967
200	205	8418
205	210	7538
210	215	6652
215	220	5776
220	225	4682
225	230	3843
230	235	2952
235	240	2531
240	245	2059
245	250	1862
