-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	0
-100	-95	0
-95	-90	0
-90	-85	0
-85	-80	0
-80	-75	0
-75	-70	0
-70	-65	0
-65	-60	0
-60	-55	0
-55	-50	0
-50	-45	0
-45	-40	0
-40	-35	557
-35	-30	1217
-30	-25	1209
-25	-20	1157
-20	-15	1093
-15	-10	998
-10	-5	952
-5	0	930
0	5	846
5	10	731
10	15	678
15	20	654
20	25	622
25	30	653
30	35	667
35	40	788
40	45	807
45	50	1103
50	55	1736
55	60	4033
60	65	11181
65	70	27028
70	75	51426
75	80	76114
80	85	94993
85	90	101640
90	95	97899
95	100	86481
100	105	73430
105	110	60672
110	115	46279
115	120	32169
120	125	20089
125	130	11412
130	135	7126
135	140	6379
140	145	7087
145	150	8365
150	155	9234
155	160	9397
160	165	9435
165	170	9018
170	175	7797
175	180	6818
180	185	5616
185	190	4536
190	195	3707
195	200	2651
200	205	2056
205	210	1842
210	215	1601
215	220	1385
220	225	1257
225	230	1115
230	235	1005
235	240	1093
240	245	1048
245	250	1009
